offset_seconds,timestamp_utc,author,message,comic,sentiment
21.7,2026-09-22T05:09:14.724000+00:00,@McMisfit,said hi,between_sets,0.0
26.1,2026-09-22T05:09:19.114000+00:00,@moneymagic6119,said hi,between_sets,0.0
28.4,2026-09-22T05:09:21.447000+00:00,@BrianKirk-wi6kd,said hi,between_sets,0.0
36.2,2026-09-22T05:09:29.182000+00:00,@moneymagic6119,DRUNKLES,between_sets,0.0
41.2,2026-09-22T05:09:34.152000+00:00,@Donnieboy24,oh baby it's go time,between_sets,0.0
63.9,2026-09-22T05:09:56.949000+00:00,@jctoad,here we go again,between_sets,0.0
86.5,2026-09-22T05:10:19.493000+00:00,@McMisfit,what's the theme tonight,between_sets,0.0
94.1,2026-09-22T05:10:27.103000+00:00,@moneymagic6119,Drunk Uncles,between_sets,0.0
113.8,2026-09-22T05:10:46.820000+00:00,@McMisfit,,between_sets,0.0
145.4,2026-09-22T05:11:18.444000+00:00,@Gloobus.q,This will be the best thing on stage all night ,between_sets,0.0
180.3,2026-09-22T05:11:53.283000+00:00,@JimboTheComic,LETS GOOOO,between_sets,0.0
184.8,2026-09-22T05:11:57.782000+00:00,@JimboTheComic,Monday mf funday ,between_sets,0.0
207.6,2026-09-22T05:12:20.606000+00:00,@BrianKirk-wi6kd,"Jimbo, settle down",between_sets,0.0
211.7,2026-09-22T05:12:24.680000+00:00,@Donnieboy24,yessirrrr,between_sets,0.0
224.8,2026-09-22T05:12:37.781000+00:00,@Gloobus.q,Jimbo we are here for our punishment ,between_sets,0.0
249.5,2026-09-22T05:13:02.474000+00:00,@bendayho419,    ,between_sets,0.0
254.5,2026-09-22T05:13:07.479000+00:00,@McMisfit,said hi,between_sets,0.0
256.5,2026-09-22T05:13:09.468000+00:00,@jctoad,no talking while the music is playing,between_sets,0.0
280.2,2026-09-22T05:13:33.167000+00:00,@bendayho419,singing at a comedy show!??,between_sets,0.0
291.5,2026-09-22T05:13:44.497000+00:00,@McMisfit,microphone on point tonight,between_sets,0.0
295.1,2026-09-22T05:13:48.090000+00:00,@JimboTheComic,Hahaha punishment ritual ,between_sets,1.0
310.2,2026-09-22T05:14:03.220000+00:00,@JimboTheComic,This is penance for all wrong you did this week ,between_sets,0.0
310.6,2026-09-22T05:14:03.563000+00:00,@jctoad,this is the funniest part of the show,between_sets,0.0
319.2,2026-09-22T05:14:12.195000+00:00,@ineverlutes,good morning chat ,between_sets,0.0
324.5,2026-09-22T05:14:17.542000+00:00,@JimboTheComic,Oh hardy har har ,between_sets,0.0
326.2,2026-09-22T05:14:19.223000+00:00,@joshuabutterwick3156,shhhhh I'm trying to listen to the fuckin song!!!!,between_sets,0.0
339.4,2026-09-22T05:14:32.399000+00:00,@bendayho419,thank god theres no jokes at the comedy club,between_sets,0.0
349.3,2026-09-22T05:14:42.260000+00:00,@Gloobus.q,This guy got a tumor in his pants or is he just happy to see us,between_sets,0.0
363.4,2026-09-22T05:14:56.360000+00:00,@ineverlutes,my body is ready ,between_sets,0.0
389.2,2026-09-22T05:15:22.232000+00:00,@McMisfit,great song,between_sets,0.0
395.8,2026-09-22T05:15:28.798000+00:00,@alisonwayland6057,"hello, hello",between_sets,0.0
402.8,2026-09-22T05:15:35.765000+00:00,@joshuabutterwick3156,Tommy Chong is getting the band back together,between_sets,0.0
411.8,2026-09-22T05:15:44.837000+00:00,@jctoad,Dove wins for the night,between_sets,0.0
420.5,2026-09-22T05:15:53.533000+00:00,@sunkissed335,,"Pa Bay Coffee (auto-detected, please verify)",0.0
430.7,2026-09-22T05:16:03.742000+00:00,@ineverlutes,"is that a talkamine, nice lookin guitar dove","Pa Bay Coffee (auto-detected, please verify)",0.0
442.8,2026-09-22T05:16:15.815000+00:00,@DankGnomeChild,omg it's this again,"Pa Bay Coffee (auto-detected, please verify)",0.0
453.0,2026-09-22T05:16:26.002000+00:00,@sunkissed335,Chino shirt is ,"Pa Bay Coffee (auto-detected, please verify)",0.0
453.7,2026-09-22T05:16:26.680000+00:00,@McMisfit,what timen s it there?,"Pa Bay Coffee (auto-detected, please verify)",0.0
460.8,2026-09-22T05:16:33.844000+00:00,@ineverlutes,LETS GOOOO,"Pa Bay Coffee (auto-detected, please verify)",0.0
476.7,2026-09-22T05:16:49.733000+00:00,@moneymagic6119,7pm I think,"Pa Bay Coffee (auto-detected, please verify)",0.0
483.0,2026-09-22T05:16:56.044000+00:00,@Gloobus.q,Nothing cooler than a 50 year old wearing a weed shirt,"Pa Bay Coffee (auto-detected, please verify)",0.0
527.7,2026-09-22T05:17:40.749000+00:00,@ineverlutes,oh this is gonna be good ,"Pa Bay Coffee (auto-detected, please verify)",0.0
528.2,2026-09-22T05:17:41.156000+00:00,@sunkissed335,,"Pa Bay Coffee (auto-detected, please verify)",0.0
528.3,2026-09-22T05:17:41.262000+00:00,@McMisfit,expectations ,"Pa Bay Coffee (auto-detected, please verify)",0.0
537.9,2026-09-22T05:17:50.867000+00:00,@moneymagic6119,DRUNCLES,"Pa Bay Coffee (auto-detected, please verify)",0.0
540.4,2026-09-22T05:17:53.417000+00:00,@McMisfit,it IS me,"Pa Bay Coffee (auto-detected, please verify)",0.0
553.1,2026-09-22T05:18:06.128000+00:00,@ineverlutes,we are all the druncles,"Pa Bay Coffee (auto-detected, please verify)",0.0
576.3,2026-09-22T05:18:29.313000+00:00,@JimboTheComic,Let’s gooo chat ,"Pa Bay Coffee (auto-detected, please verify)",0.0
593.2,2026-09-22T05:18:46.154000+00:00,@sunkissed335,nooice,"Pa Bay Coffee (auto-detected, please verify)",0.0
608.1,2026-09-22T05:19:01.083000+00:00,@joshuabutterwick3156,did everyone bring their noise cancelling headphones tonight??,"Pa Bay Coffee (auto-detected, please verify)",0.0
609.3,2026-09-22T05:19:02.349000+00:00,@ineverlutes,jimbo you got a set for us tonight??,"Pa Bay Coffee (auto-detected, please verify)",0.0
624.5,2026-09-22T05:19:17.530000+00:00,@henryOP8749, sup fam ,"Pa Bay Coffee (auto-detected, please verify)",0.0
631.3,2026-09-22T05:19:24.267000+00:00,@Gloobus.q,Does he ever,"Pa Bay Coffee (auto-detected, please verify)",0.0
632.6,2026-09-22T05:19:25.567000+00:00,@moneymagic6119,NY,"Pa Bay Coffee (auto-detected, please verify)",0.0
636.6,2026-09-22T05:19:29.588000+00:00,@Donnieboy24,"i sure hope we get to gaze upon chair tonight, even for just a moment","Pa Bay Coffee (auto-detected, please verify)",0.0
638.0,2026-09-22T05:19:30.987000+00:00,@JimboTheComic,BEST COMMENT WINS HOT SAUCE ,"Pa Bay Coffee (auto-detected, please verify)",0.0
641.8,2026-09-22T05:19:34.839000+00:00,@sunkissed335,The chat has no chill so don't read it,"Pa Bay Coffee (auto-detected, please verify)",0.0
645.1,2026-09-22T05:19:38.068000+00:00,@DankGnomeChild,lol,"Pa Bay Coffee (auto-detected, please verify)",1.0
646.0,2026-09-22T05:19:38.966000+00:00,@joshuabutterwick3156,Chino looks like he could build a soya bean pipe bomb,"Pa Bay Coffee (auto-detected, please verify)",-1.0
647.5,2026-09-22T05:19:40.546000+00:00,@JimboTheComic,Lutes duhhhhh ,"Pa Bay Coffee (auto-detected, please verify)",0.0
654.8,2026-09-22T05:19:47.769000+00:00,@ineverlutes,jimbo about to open up on stage about his druncle,"Pa Bay Coffee (auto-detected, please verify)",0.0
661.5,2026-09-22T05:19:54.474000+00:00,@henryOP8749,Chats the best part of this  ,"Pa Bay Coffee (auto-detected, please verify)",0.0
667.8,2026-09-22T05:20:00.762000+00:00,@JimboTheComic,I’m organizing my set right meow ,"Pa Bay Coffee (auto-detected, please verify)",0.0
684.7,2026-09-22T05:20:17.744000+00:00,@McMisfit,got weed in the sauce?,"Pa Bay Coffee (auto-detected, please verify)",0.0
703.4,2026-09-22T05:20:36.436000+00:00,@henryOP8749,Did dove just fall asleep on set for a sec  ,"Pa Bay Coffee (auto-detected, please verify)",0.0
711.3,2026-09-22T05:20:44.337000+00:00,@JimboTheComic,Jesus is muted ,"Pa Bay Coffee (auto-detected, please verify)",0.0
711.5,2026-09-22T05:20:44.518000+00:00,@ineverlutes,jesus is my druncle,"Pa Bay Coffee (auto-detected, please verify)",0.0
721.1,2026-09-22T05:20:54.095000+00:00,@JimboTheComic,Dove falls asleep standing ,"Pa Bay Coffee (auto-detected, please verify)",0.0
740.5,2026-09-22T05:21:13.505000+00:00,@henryOP8749,   ,"Pa Bay Coffee (auto-detected, please verify)",0.0
746.8,2026-09-22T05:21:19.785000+00:00,@JimboTheComic,60 in the chat this early?! Oh shit tonight is gunna be LITTY TITTY,"Pa Bay Coffee (auto-detected, please verify)",0.0
758.0,2026-09-22T05:21:31.004000+00:00,@henryOP8749,Dove gonna make me fall asleep  ,"Pa Bay Coffee (auto-detected, please verify)",0.0
763.5,2026-09-22T05:21:36.530000+00:00,@z28diablo,What's up chat? Did I miss any funny jokes?,"Pa Bay Coffee (auto-detected, please verify)",1.0
768.0,2026-09-22T05:21:40.963000+00:00,@Donnieboy24,buckle up buckaroos,"Pa Bay Coffee (auto-detected, please verify)",0.0
775.3,2026-09-22T05:21:48.333000+00:00,@joshuabutterwick3156,let's get ready not to laugh,"Pa Bay Coffee (auto-detected, please verify)",0.0
777.4,2026-09-22T05:21:50.444000+00:00,@McMisfit,wooo criminals,"Pa Bay Coffee (auto-detected, please verify)",0.0
783.7,2026-09-22T05:21:56.711000+00:00,@JimboTheComic,Diablo we just started ,"Pa Bay Coffee (auto-detected, please verify)",0.0
789.0,2026-09-22T05:22:02.025000+00:00,@ineverlutes,@diablo there are no jokes ,"Pa Bay Coffee (auto-detected, please verify)",0.0
790.5,2026-09-22T05:22:03.523000+00:00,@JimboTheComic,"But if we just ended, still no","Pa Bay Coffee (auto-detected, please verify)",0.0
796.9,2026-09-22T05:22:09.892000+00:00,@henryOP8749,Diablo  let’s get it I thought I was gonna be the only one picking on Jimbo  ,"Pa Bay Coffee (auto-detected, please verify)",0.0
799.3,2026-09-22T05:22:12.287000+00:00,@joshuabutterwick3156,everyone get ready to release the crickets,"Pa Bay Coffee (auto-detected, please verify)",0.0
824.9,2026-09-22T05:22:37.895000+00:00,@JimboTheComic,CHAT BE MEANER OR ILL FREAK OUT ,"Pa Bay Coffee (auto-detected, please verify)",0.0
837.1,2026-09-22T05:22:50.117000+00:00,@joshuabutterwick3156,Chino probably beats his girlfriend after drinking too much root beer,"Pa Bay Coffee (auto-detected, please verify)",0.0
848.8,2026-09-22T05:23:01.820000+00:00,@Donnieboy24,side chair,"Pa Bay Coffee (auto-detected, please verify)",0.0
857.2,2026-09-22T05:23:10.197000+00:00,@henryOP8749,Some one throw in the olive branch and let dove k ow we surrender,"Pa Bay Coffee (auto-detected, please verify)",0.0
858.5,2026-09-22T05:23:11.501000+00:00,@JimboTheComic,We bout to hit a Hindi peeps in the chat in the first 20 mins ,"Pa Bay Coffee (auto-detected, please verify)",0.0
872.9,2026-09-22T05:23:25.905000+00:00,@Gloobus.q,Jimbo jfk this guy,"Pa Bay Coffee (auto-detected, please verify)",0.0
873.4,2026-09-22T05:23:26.371000+00:00,@joshuabutterwick3156,Chino looks like he let's other men name his kids,"Pa Bay Coffee (auto-detected, please verify)",0.0
874.2,2026-09-22T05:23:27.176000+00:00,@McMisfit,haha whos card?,"Pa Bay Coffee (auto-detected, please verify)",1.0
878.2,2026-09-22T05:23:31.192000+00:00,@z28diablo,"Will the chair's druncle, the recliner be on the show tonight?","Pa Bay Coffee (auto-detected, please verify)",0.0
880.7,2026-09-22T05:23:33.699000+00:00,@TheCorndawggy,Maybe this is just about coffee shop or something where you can just tell stories? I’m not convinced this is a comedian. It can’t be.,"Pa Bay Coffee (auto-detected, please verify)",0.0
887.0,2026-09-22T05:23:40.011000+00:00,@JimboTheComic,Lmao gloobus ,"Pa Bay Coffee (auto-detected, please verify)",1.0
897.6,2026-09-22T05:23:50.593000+00:00,@DanceySteveYNWA,Cool story bro,"Pa Bay Coffee (auto-detected, please verify)",0.0
913.4,2026-09-22T05:24:06.399000+00:00,@JimboTheComic,Corndawgggy. I love you ,"Pa Bay Coffee (auto-detected, please verify)",1.0
917.6,2026-09-22T05:24:10.608000+00:00,@ineverlutes,uhh,"Pa Bay Coffee (auto-detected, please verify)",0.0
920.6,2026-09-22T05:24:13.629000+00:00,@Gloobus.q,Wish he would “ tie one on”,"Pa Bay Coffee (auto-detected, please verify)",0.0
936.6,2026-09-22T05:24:29.552000+00:00,@Kush_King420,the shirt ,"Pa Bay Coffee (auto-detected, please verify)",0.0
940.1,2026-09-22T05:24:33.090000+00:00,@goodviibes8573,Already told this story ,"Pa Bay Coffee (auto-detected, please verify)",0.0
940.6,2026-09-22T05:24:33.568000+00:00,@joshuabutterwick3156,knock knock Chino,"Pa Bay Coffee (auto-detected, please verify)",0.0
942.5,2026-09-22T05:24:35.479000+00:00,@sunkissed335,,"Pa Bay Coffee (auto-detected, please verify)",0.0
948.4,2026-09-22T05:24:41.424000+00:00,@henryOP8749, sorry chat I’ll clean  that,"Pa Bay Coffee (auto-detected, please verify)",0.0
979.9,2026-09-22T05:25:12.947000+00:00,@tylerdarnell4842,lol  ,"Pa Bay Coffee (auto-detected, please verify)",1.0
980.6,2026-09-22T05:25:13.648000+00:00,@McMisfit,now i want cake,"Pa Bay Coffee (auto-detected, please verify)",0.0
989.4,2026-09-22T05:25:22.416000+00:00,@DanceySteveYNWA,Death by a thousand no laughs,"Pa Bay Coffee (auto-detected, please verify)",0.0
990.7,2026-09-22T05:25:23.714000+00:00,@JimboTheComic,I got cake IYKYK,"Pa Bay Coffee (auto-detected, please verify)",0.0
991.3,2026-09-22T05:25:24.280000+00:00,@sunkissed335,they need more drinks,"Pa Bay Coffee (auto-detected, please verify)",0.0
997.8,2026-09-22T05:25:30.843000+00:00,@ineverlutes,ITS TRAUMA NIGHT,"Pa Bay Coffee (auto-detected, please verify)",0.0
1006.7,2026-09-22T05:25:39.662000+00:00,@TheCorndawggy,"We can take it, we just wish it would be funny","Pa Bay Coffee (auto-detected, please verify)",1.0
1015.6,2026-09-22T05:25:48.628000+00:00,@joshuabutterwick3156,it's trauma week every Monday,"Pa Bay Coffee (auto-detected, please verify)",0.0
1025.8,2026-09-22T05:25:58.759000+00:00,@henryOP8749,They take everyone that looks sad and give them a chance to be funny  ,"Pa Bay Coffee (auto-detected, please verify)",1.0
1030.3,2026-09-22T05:26:03.332000+00:00,@TheCorndawggy,Holy awful,"Pa Bay Coffee (auto-detected, please verify)",-1.0
1031.1,2026-09-22T05:26:04.060000+00:00,@JimboTheComic,Smash mouth I wanna smash my ears ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1032.2,2026-09-22T05:26:05.191000+00:00,@ineverlutes,@jimbo ezactly lmao,"Pa Bay Coffee (auto-detected, please verify)",1.0
1048.1,2026-09-22T05:26:21.146000+00:00,@moneymagic6119,BABY MAMA TRAUMA,"Pa Bay Coffee (auto-detected, please verify)",0.0
1049.7,2026-09-22T05:26:22.681000+00:00,@HollywoodStar2026,JFC another Trauma Night?,"Pa Bay Coffee (auto-detected, please verify)",0.0
1050.3,2026-09-22T05:26:23.263000+00:00,@Gloobus.q,Smash my mouth jimbo,"Pa Bay Coffee (auto-detected, please verify)",0.0
1050.8,2026-09-22T05:26:23.847000+00:00,@TommyTheJarvis,Wooo let’s go ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1052.6,2026-09-22T05:26:25.562000+00:00,@JimboTheComic,I was helping you chat ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1055.9,2026-09-22T05:26:28.921000+00:00,@henryOP8749,Chino  ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1058.4,2026-09-22T05:26:31.398000+00:00,@JimboTheComic,Be way meaner ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1065.4,2026-09-22T05:26:38.363000+00:00,@joshuabutterwick3156,fuck I wish I was deaf,"Pa Bay Coffee (auto-detected, please verify)",0.0
1076.7,2026-09-22T05:26:49.697000+00:00,@ineverlutes,HEY NOW YOURE A POT HEAD ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1080.7,2026-09-22T05:26:53.695000+00:00,@TheCorndawggy,Is there someone else? Thank goodness. ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1084.2,2026-09-22T05:26:57.198000+00:00,@z28diablo,I was going to suggest Self Deprecation Night for next week but Druncles might devolve into it,"Pa Bay Coffee (auto-detected, please verify)",0.0
1091.3,2026-09-22T05:27:04.329000+00:00,@HollywoodStar2026,Where's the stripper turned therapist?She could make bank with this clown show,"Pa Bay Coffee (auto-detected, please verify)",0.0
1094.9,2026-09-22T05:27:07.942000+00:00,@goodviibes8573,Meth aunty ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1096.8,2026-09-22T05:27:09.801000+00:00,@henryOP8749,I’ll be meaner Jimbo I’m still waiting for my hot sauce you dick  ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1097.5,2026-09-22T05:27:10.543000+00:00,@rocjames1,Abrahad cadabra.,"Pa Bay Coffee (auto-detected, please verify)",0.0
1098.5,2026-09-22T05:27:11.455000+00:00,@ineverlutes,oh she's got the druncle stories ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1098.9,2026-09-22T05:27:11.892000+00:00,@Gloobus.q,Burlesque is just a nicer way of calling her a stripper ,"Pa Bay Coffee (auto-detected, please verify)",0.0
1103.0,2026-09-22T05:27:15.987000+00:00,@TommyTheJarvis,Do they want to boo her at the burlesque show too or….,"Pa Bay Coffee (auto-detected, please verify)",-1.0
1108.1,2026-09-22T05:27:21.142000+00:00,@joshuabutterwick3156,Abra cadabra she disappeared,"Pa Bay Coffee (auto-detected, please verify)",0.0
1114.6,2026-09-22T05:27:27.611000+00:00,@DankGnomeChild,#ad,"Pa Bay Coffee (auto-detected, please verify)",0.0
