video_t,wall_time,author,chat_name,text,sentiment,source_layer,current_performer,caption_window,audience
716.0,2026-08-17 19:26:42,@dirtydingo250,,WTF is going on here?,negative,vader,,"and said in my best Bones McCoy impression from Star Trek, I said, ""Damn it, Jim. I'm a pharmacist, not a doctor, but I don't see that happening anytime soon."" And you're not Star Trek fans, I guess. All right. So,",true
718.0,2026-08-17 19:26:44,@z28diablo,,"Hey Jimbo, as a ""comic"", aren't you supposed to cut out jokes that repeatedly bomb?",negative,vader,,"impression from Star Trek, I said, ""Damn it, Jim. I'm a pharmacist, not a doctor, but I don't see that happening anytime soon."" And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for",true
718.0,2026-08-17 19:26:44,@S.D.L-m1j,,Who's Poppa is this?..lol,neutral,vader,,"impression from Star Trek, I said, ""Damn it, Jim. I'm a pharmacist, not a doctor, but I don't see that happening anytime soon."" And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for",true
722.0,2026-08-17 19:26:48,@BigSnake-D2B,,booooooo,neutral,vader,,"it, Jim. I'm a pharmacist, not a doctor, but I don't see that happening anytime soon."" And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for [ __ ] 38 years or something like that.",true
727.0,2026-08-17 19:26:53,@ONWARD24seven,,lol :grinning_squinting_face: I give him props :clapping_hands:,positive,vader,,"soon."" And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for [ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia.",true
728.0,2026-08-17 19:26:54,@garyOh0901,,why did the turtle cross the road?,neutral,vader,,"soon."" And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for [ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia.",true
728.0,2026-08-17 19:26:54,@radiostarkilla21,,His wife laughs,positive,vader,,"soon."" And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for [ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia.",true
728.0,2026-08-17 19:26:54,@Grimm_Destroyer,,you have no wife lol,negative,vader,,"soon."" And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for [ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia.",true
730.0,2026-08-17 19:26:56,@kane444tree,,Stay focused ,positive,vader,,"And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for [ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia. Um, I discovered the secret to a long",true
731.0,2026-08-17 19:26:57,@dirtydingo250,,biggest pop of the night,neutral,vader,,"And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for [ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia. Um, I discovered the secret to a long",true
732.0,2026-08-17 19:26:58,@matisari7982,,feel bad for his wife :loudly_crying_face: she didn't wanna listen to his jokes,negative,vader,,"And you're not Star Trek fans, I guess. All right. So, my wife and I have been married for [ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia. Um, I discovered the secret to a long",true
740.0,2026-08-17 19:27:06,@HeardItOnTheCoconutWireless,,What’s the definition of insanity again? ,negative,vader,,"my wife and I have been married for [ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia. Um, I discovered the secret to a long successful marriage is to just >> stay the [ __ ] away from each other for",true
741.0,2026-08-17 19:27:07,@JimboTheComic,,I feel like we heard this before ,positive,vader,,"my wife and I have been married for [ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia. Um, I discovered the secret to a long successful marriage is to just >> stay the [ __ ] away from each other for as long as possible.",true
742.0,2026-08-17 19:27:08,@I_AM_VISION_ICONIC,,you part everyday she lives less huh?:smiling_face_with_horns::rolling_on_the_floor_laughing::popcorn::chair:,neutral,vader,,"[ __ ] 38 years or something like that. Thank you. Thank you. >> She's not here. She's back in Virginia. Um, I discovered the secret to a long successful marriage is to just >> stay the [ __ ] away from each other for as long as possible.",true
743.0,2026-08-17 19:27:09,@Zeroturn70,,Buuuuuuullll shit!,negative,vader,,"Thank you. Thank you. >> She's not here. She's back in Virginia. Um, I discovered the secret to a long successful marriage is to just >> stay the [ __ ] away from each other for as long as possible.",true
744.0,2026-08-17 19:27:10,@Gir-Riff-raff,,Nothing kills a comedians momentum faster than talking about your marriage,positive,vader,,"Thank you. Thank you. >> She's not here. She's back in Virginia. Um, I discovered the secret to a long successful marriage is to just >> stay the [ __ ] away from each other for as long as possible. So, we've just gotten to the point now",true
746.0,2026-08-17 19:27:12,@ONWARD24seven,,lol mati,positive,vader,,">> She's not here. She's back in Virginia. Um, I discovered the secret to a long successful marriage is to just >> stay the [ __ ] away from each other for as long as possible. So, we've just gotten to the point now",true
751.0,2026-08-17 19:27:17,@JimboTheComic,,Diablo we aren’t comics lol,negative,vader,,">> She's not here. She's back in Virginia. Um, I discovered the secret to a long successful marriage is to just >> stay the [ __ ] away from each other for as long as possible. So, we've just gotten to the point now where we're just waiting around to",true
755.0,2026-08-17 19:27:21,@albannach7943,,9ng he told all these last week,neutral,vader,,"successful marriage is to just >> stay the [ __ ] away from each other for as long as possible. So, we've just gotten to the point now where we're just waiting around to >> see who wins the death line.",true
762.0,2026-08-17 19:27:28,@dirtydingo250,,clap for that,neutral,vader,,"as long as possible. So, we've just gotten to the point now where we're just waiting around to >> see who wins the death line. We have a daughter who lives at home with us still.",true
767.0,2026-08-17 19:27:33,@kane444tree,,Ouch ,neutral,vader,,"So, we've just gotten to the point now where we're just waiting around to >> see who wins the death line. We have a daughter who lives at home with us still. She's only 36. I mean, you can't kick",true
769.0,2026-08-17 19:27:35,@pijinFPS,,his wife and brian wilson are going to murder him,negative,vader,,"So, we've just gotten to the point now where we're just waiting around to >> see who wins the death line. We have a daughter who lives at home with us still. She's only 36. I mean, you can't kick them out of the nest too soon. They just",true
770.0,2026-08-17 19:27:36,@albannach7943,,"Jaeger Bombs, could you call me? I need a long-winded, wordy explanation of something simple",neutral,vader,,"So, we've just gotten to the point now where we're just waiting around to >> see who wins the death line. We have a daughter who lives at home with us still. She's only 36. I mean, you can't kick them out of the nest too soon. They just won't survive.",true
770.0,2026-08-17 19:27:36,@genehorecka4096,,Is marriage recommended?,positive,vader,,"So, we've just gotten to the point now where we're just waiting around to >> see who wins the death line. We have a daughter who lives at home with us still. She's only 36. I mean, you can't kick them out of the nest too soon. They just won't survive.",true
777.0,2026-08-17 19:27:43,@I_AM_VISION_ICONIC,,you should drownnn here :rolling_on_the_floor_laughing::smiling_face_with_horns::popcorn::chair:,neutral,vader,,"the death line. We have a daughter who lives at home with us still. She's only 36. I mean, you can't kick them out of the nest too soon. They just won't survive. Um, so she has a tagline she likes to use after she says something mean. She",true
778.0,2026-08-17 19:27:44,@JimboTheComic,,Albannch he’s said them for years lol,positive,vader,,"the death line. We have a daughter who lives at home with us still. She's only 36. I mean, you can't kick them out of the nest too soon. They just won't survive. Um, so she has a tagline she likes to use after she says something mean. She",true
781.0,2026-08-17 19:27:47,@dirtydingo250,,@jimbo blow me,neutral,vader,,"We have a daughter who lives at home with us still. She's only 36. I mean, you can't kick them out of the nest too soon. They just won't survive. Um, so she has a tagline she likes to use after she says something mean. She says, ""I'm just saying",true
783.0,2026-08-17 19:27:49,@MartinFelix1,,I’m just sayin this set blows,neutral,vader,,"with us still. She's only 36. I mean, you can't kick them out of the nest too soon. They just won't survive. Um, so she has a tagline she likes to use after she says something mean. She says, ""I'm just saying like it's some kind of magic eraser to",true
786.0,2026-08-17 19:27:52,@JimboTheComic,,IM JUST SAYING ,neutral,vader,,"She's only 36. I mean, you can't kick them out of the nest too soon. They just won't survive. Um, so she has a tagline she likes to use after she says something mean. She says, ""I'm just saying like it's some kind of magic eraser to make what she just said okay somehow.""",true
787.0,2026-08-17 19:27:53,@McMisfit,,looks like he just stopped in on his power walk around the block.,negative,vader,,"She's only 36. I mean, you can't kick them out of the nest too soon. They just won't survive. Um, so she has a tagline she likes to use after she says something mean. She says, ""I'm just saying like it's some kind of magic eraser to make what she just said okay somehow."" So she'll say, ""Hey, Dad, why don't you",true
792.0,2026-08-17 19:27:58,@allisonnicole55,,"Oh, is this guy a regular?? ",neutral,vader,,"won't survive. Um, so she has a tagline she likes to use after she says something mean. She says, ""I'm just saying like it's some kind of magic eraser to make what she just said okay somehow."" So she'll say, ""Hey, Dad, why don't you go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to",true
793.0,2026-08-17 19:27:59,@z28diablo,,I used quotes lol,positive,vader,,"won't survive. Um, so she has a tagline she likes to use after she says something mean. She says, ""I'm just saying like it's some kind of magic eraser to make what she just said okay somehow."" So she'll say, ""Hey, Dad, why don't you go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to",true
